issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,This issue requires human support. Escalating to a specialist.,user_management,escalated,product_issue,"The user reports loss of workspace access after being removed by an IT admin. This is a victim account access restoration scenario requiring human intervention to investigate and restore access, not a self-service procedural question. Per escalation rules, users reporting they lost access (not admins managing access) require specialist support."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,This issue requires human support. Escalating to a specialist.,screen,escalated,product_issue,"This ticket requests score manipulation and intervention in a hiring decision, which are explicitly prohibited. Per the ""Ensuring a Great Candidate Experience"" documentation, HackerRank does not participate in hiring decisions and does not modify test scores or hiring workflows. This requires escalation to a human specialist."
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,This issue requires human support. Escalating to a specialist.,dispute_resolution,escalated,product_issue,"The cardholder is demanding immediate refund processing and merchant sanctions, which are actions only a human agent can perform. While Visa's dispute resolution process exists, executing a refund and taking action against a merchant requires investigation and human intervention beyond documentation."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,This issue requires human support. Escalating to a specialist.,mock_interviews,escalated,product_issue,"The user is demanding an immediate refund (""please give me the refund asap"") combined with a technical issue (mock interviews stopped mid-session). This is a sensitive action requiring human investigation and refund processing, which cannot be handled through self-service documentation. The refund policy in the corpus directs users to contact help@hackerrank.com for review, but the demanding tone and technical malfunction warrant escalation to a specialist."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"I understand you have a payment issue with order ID cs_live_abcdefgh. Based on HackerRank's billing documentation:

**If an amount was deducted incorrectly:** It will be refunded within 5–10 business days automatically.

**If your payment failed:** Refresh the page and retry the payment.

**Regarding refunds for voluntary cancellations:** HackerRank does not issue refunds for voluntary cancellations. Refunds apply only to system-related issues or severe service disruptions.

To get specific details about your order and payment status, please contact HackerRank support directly with your order ID (cs_live_abcdefgh). They can investigate the transaction and determine if a refund applies to your situation.

For billing inquiries, you can also review your invoices by logging into HackerRank for Work and checking your Manage Subscription section, where invoices are available after each purchase.",billing,replied,product_issue,"The corpus covers payment failures, incorrect deductions, and refund policies under HackerRank's Subscriptions, Payments, and Billing documentation. The user is asking for information about a payment issue, not demanding immediate action, so this is an informational reply. However, the specific order investigation requires human support contact."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I am sorry, this is out of scope from my capabilities. HackerRank support documentation does not cover infosec compliance form completion or security questionnaire processes. For assistance with your company's information security requirements and vendor compliance forms, please contact HackerRank's enterprise sales or account management team directly, as these matters typically require coordination with your dedicated account representative.",screen,replied,invalid,"The user is requesting help filling out infosec/security compliance forms for their company, which is outside the scope of HackerRank product support documentation. The provided docs cover hiring workflows, test creation, and candidate management, but do not address security questionnaires or compliance form completion. This requires direct engagement with HackerRank's enterprise/sales team."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"The **Apply** tab has been deprecated as part of HackerRank's platform update. To access coding challenges and practice problems, use the **Prepare** tab instead.

All coding challenges—including Algorithms, Data Structures, and other practice problems—are now available in the **Prepare** tab. You can navigate there to find and practice coding challenges.

If you're experiencing technical issues with challenges not loading or displaying, try these troubleshooting steps:
1. Close the challenge window and reopen it using the same challenge link.
2. Open the challenge in another supported browser (Chrome, Firefox, or Edge).
3. Ensure your internet connection is stable.

If problems persist, contact HackerRank support at help@hackerrank.com.",prepare,replied,product_issue,The Notification document confirms that the Apply tab is deprecated and directs users to the Prepare tab for coding challenges. The Coding Challenges FAQs document provides troubleshooting steps for challenges that do not load or display properly.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,This issue requires human support. Escalating to a specialist.,screen,escalated,bug,"The user reports that submissions are not working across any challenges on the platform, which indicates a potential platform-wide or account-level technical issue. This requires immediate investigation by a human specialist to diagnose whether this is a system outage, account-specific problem, or technical malfunction that cannot be resolved through standard troubleshooting documentation."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I understand you're experiencing a compatibility check error related to Zoom connectivity that's preventing you from taking the test. Based on HackerRank's best practices for test environments, here are the key steps to resolve this:

**System and Environment Checks:**
1. Ensure your system meets minimum requirements: at least 4 GB RAM and an updated operating system with the latest system and security updates.
2. Verify you have a stable internet connection with at least 5 Mbps bandwidth (10 Mbps recommended for optimal performance).
3. Use a supported web browser: the latest version of **Google Chrome** or **Microsoft Edge**. Do not use unsupported or outdated browsers.
4. Disable or remove all unnecessary browser extensions, or use **Incognito** or **Private** mode to prevent extensions from interfering.
5. Close all other applications and keep only the HackerRank assessment tab open.
6. If the assessment becomes slow or unresponsive, refresh the browser page.

**Webcam Setup (if required for Proctor Mode):**
- Use a functioning built-in or external webcam.
- Test your webcam in advance at https://webcamtests.com/
- Uninstall any virtual camera software to prevent conflicts.

**Physical Environment:**
- Ensure proper lighting so your face is clearly visible.
- Avoid strong backlighting (bright windows or light sources behind you).
- Use a quiet environment to minimize distractions.

If you've completed these steps and the Zoom connectivity error persists, the issue may require specialized support beyond these standard troubleshooting steps.",screen,replied,product_issue,"The corpus provides detailed best practices for test environment setup under ""Best Practices for Running Group Assessments in Proctor Mode,"" covering system requirements, internet connectivity, browser compatibility, extensions, webcam setup, and physical environment. These directly address the candidate's compatibility check issues. The documentation does not specifically address Zoom connectivity errors, so the response covers all applicable troubleshooting from the available docs."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,This issue requires human support. Escalating to a specialist.,screen,escalated,product_issue,"The candidate is requesting a rescheduling of a HackerRank assessment due to unforeseen circumstances. While the documentation covers how admins can reschedule interviews and reinvite candidates to tests, this ticket is from a candidate requesting that a human agent reschedule their assessment on their behalf—an action that requires human judgment and account intervention by a support specialist, not self-service steps."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,This issue requires human support. Escalating to a specialist.,interviews,escalated,product_issue,"The user is asking about inactivity timeout settings and requesting configuration changes to extend inactivity times for interviewers and candidates. The provided documentation covers Observation Mode, Virtual Lobby, Network Monitoring, and Tab Locking features, but does not contain any information about inactivity timeout durations, whether they differ between roles, or how to modify them. This is a configuration request that requires human investigation and potentially backend changes, which cannot be resolved from the available documentation."
"it’s not working, help",Help needed,None,"I am sorry, this is out of scope from my capabilities.",,replied,invalid,"The ticket provides no specific product, service, or issue details. Without knowing which product (HackerRank, Claude, or Visa) or what feature is affected, no targeted troubleshooting can be provided from the documentation."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"I understand you're looking to remove an interviewer from the platform. Unfortunately, the provided documentation does not contain specific steps for removing or deleting a user/interviewer account from HackerRank.

The documentation covers managing interviews, interview templates, and interview questions, but does not address user account removal or deletion at the platform level.

For assistance with removing an interviewer from your HackerRank account, please contact HackerRank support directly, as this may require account-level administrative action that is not covered in the available self-service documentation.",interviews,replied,product_issue,"The provided documentation covers interview management, templates, and question deletion, but does not include procedures for removing or deleting user accounts or interviewers from the platform. Since the corpus does not address this request, the user is directed to contact support for account-level user management assistance."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,"HackerRank offers a **Pause Subscription** feature that allows you to temporarily pause your subscription instead of canceling it. This is ideal for your situation since you've stopped hiring efforts but may resume later.

**To pause your subscription:**

1. Click the **profile icon** in the top-right corner and select **Settings** from the dropdown menu.
2. Navigate to the **Billing** section under **Subscription**.
3. Click the **Cancel Plan** button. A prompt will appear about the **Pause Subscription** feature.
4. Select your desired pause duration (minimum 1 month, maximum 12 months).

**Important:** The Pause Subscription feature is available only for monthly subscription plans (Individual Monthly - Basic or Interview Monthly) that have been active for at least 30 days.

If you prefer to cancel instead of pausing, you can click **Cancel Plan** and confirm cancellation. Your access will continue until the end of your current billing cycle.",billing,replied,product_issue,"The corpus provides detailed self-serve instructions for pausing a subscription under the ""Pause Subscription"" document, which directly addresses the user's request. This is an informational how-to question, not an action requiring human intervention."
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,This issue requires human support. Escalating to a specialist.,troubleshooting,escalated,bug,"Platform-wide service failure (""Claude has stopped working completely, all requests are failing"") constitutes a critical outage requiring immediate human investigation and intervention. This matches the hard escalation rule for system-wide failures."
"My identity has been stolen, wat should I do",Identity Theft,Visa,This issue requires human support. Escalating to a specialist.,fraud_prevention,escalated,product_issue,"Identity theft is a critical security incident requiring immediate human investigation and intervention. The pre-screening flag correctly identifies this as a hard escalation trigger. While the documentation provides fraud prevention resources for merchants, consumer identity theft requires direct support from Visa's fraud investigation team to protect the user's accounts and personal information."
Resume Builder is Down,Help in creating resume,HackerRank,This issue requires human support. Escalating to a specialist.,resume_builder,escalated,bug,"The ticket reports that Resume Builder is down, which is a platform-level service outage. This requires immediate human investigation and intervention to diagnose and resolve the service disruption."
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,HackerRank,"You can update the name on your certificate. Here are the steps:

1. Open your certificate page.
2. In the **Full Name** field, enter the name you want to display.
3. Click **Regenerate Certificate**.
4. In the confirmation dialog, click **Update Name**.

The platform will update your certificate with the new name.

**Important:** You can only update the name on your certificate once per account. When you update your name, the change applies to all your certificates, and you cannot change it again after this update.",certifications,replied,product_issue,The Certifications FAQs document directly addresses this request with step-by-step instructions for updating a certificate name. This is a self-service procedural question that can be fully answered from the provided documentation.
How do I dispute a charge,Dispute charge,Visa,"To dispute a charge on your Visa account, follow these steps:

**Step 1: Contact your card issuer**
Contact your issuing bank to question the charge on your billing statement.

**Step 2: Provide transaction details**
Your issuer will guide you through the dispute process and may request information about the transaction.

**Step 3: Submit documentation**
Be prepared to provide accurate details about the transaction to support your dispute claim.

For detailed guidance on the dispute resolution process and to understand your rights, refer to the Visa Dispute Resolution documentation. If you need further assistance, contact your card issuer directly as they manage the dispute process on your behalf.",dispute_resolution,replied,product_issue,"The corpus covers dispute resolution procedures under Visa's Dispute Resolution documentation. This is an informational request about how to initiate a dispute, which the documentation addresses from a merchant perspective but the cardholder process is outlined in Step 1 (contacting the issuer). The user is asking for procedural information, not demanding an immediate action by a human agent."
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,This issue requires human support. Escalating to a specialist.,security,escalated,product_issue,Security vulnerability reports require immediate investigation by Anthropic's security team. This is a sensitive security matter that cannot be resolved through self-service documentation and requires human expert review and response.
I want Claude to stop crawling by website,Website Data crawl,Claude,"To stop Anthropic's ClaudeBot from crawling your website, you need to modify your robots.txt file. Add the following to the robots.txt file in your top-level directory:

User-agent: ClaudeBot
Disallow: /

Please do this for every subdomain that you wish to opt out from.

Alternatively, if you want to allow crawling but limit its frequency, you can use the Crawl-delay extension:

User-agent: ClaudeBot
Crawl-delay: 1

Note: Blocking by IP address may not work reliably. Anthropic's Bots respect industry-standard robots.txt directives, so modifying your robots.txt file is the recommended approach.

If you believe our Bots may be malfunctioning or have further questions, you can contact Anthropic at claudebot@anthropic.com. Please reach out from an email that includes your domain name.",privacy,replied,product_issue,"Document 1 provides detailed instructions on how site owners can block Anthropic's ClaudeBot crawler using robots.txt directives. This is a standard procedural question about controlling web crawling, fully covered by the corpus."
